latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
41.01964,28.55411,303.51,0.49,0.49,2012-01-22,0035,N,VIIRS,n,2,273.59,0.94,N,2
41.02217,28.55769,308.78,0.46,0.39,2012-01-23,0016,N,VIIRS,n,2,277.92,1.23,N,2
41.01865,28.55647,300.25,0.46,0.39,2012-01-23,0016,N,VIIRS,n,2,274.91,0.79,N,2
41.02244,28.55673,306.34,0.39,0.36,2012-01-23,2358,N,VIIRS,n,2,277.8,1.18,N,2
41.01915,28.55587,304.94,0.39,0.36,2012-01-23,2358,N,VIIRS,n,2,276.02,1.18,N,2
41.0202,28.55467,300.21,0.45,0.39,2012-01-29,2345,N,VIIRS,n,2,267.62,1.01,N,2
41.02174,28.55859,295.58,0.51,0.41,2012-02-25,2339,N,VIIRS,n,2,276.65,1.23,N,2
41.01987,28.55748,302.33,0.53,0.42,2012-02-29,0023,N,VIIRS,n,2,271.54,1.06,N,2
41.0186,28.55662,298.38,0.53,0.42,2012-02-29,0023,N,VIIRS,n,2,270.48,1.11,N,2
41.0205,28.55624,304.04,0.42,0.61,2012-03-03,2307,N,VIIRS,n,2,274.15,1.14,N,2
41.01964,28.55542,305.28,0.35,0.57,2012-03-04,0048,N,VIIRS,n,2,272.86,0.96,N,2
41.02209,28.55552,303.95,0.42,0.45,2012-03-05,0029,N,VIIRS,n,2,274.57,1.34,N,2
41.01971,28.55761,320.41,0.41,0.37,2012-03-06,0010,N,VIIRS,n,2,277.13,1.75,N,2
41.02145,28.5593,310.71,0.4,0.37,2012-03-06,2351,N,VIIRS,n,2,274.68,0.87,N,2
41.02211,28.55452,301.58,0.4,0.37,2012-03-06,2351,N,VIIRS,n,2,273.62,1.29,N,2
41.02041,28.55406,298.54,0.46,0.39,2012-03-11,0016,N,VIIRS,n,2,269.52,1.22,N,2
41.02015,28.55728,316.51,0.39,0.36,2012-03-17,0004,N,VIIRS,n,2,276.02,1.92,N,2
41.01941,28.55438,314.24,0.45,0.39,2012-03-17,2345,N,VIIRS,n,2,278.29,2.32,N,2
41.02209,28.55528,310.29,0.48,0.48,2012-03-18,2326,N,VIIRS,n,2,280.14,1.74,N,2
41.02246,28.55605,299.86,0.6,0.71,2012-03-19,0106,N,VIIRS,n,2,277.84,1.89,N,2
41.02081,28.55699,308.62,0.6,0.71,2012-03-19,0106,N,VIIRS,n,2,278.8,1.76,N,2
41.09812,28.99478,325.95,0.4,0.37,2012-03-19,1049,N,VIIRS,n,2,294.22,1.06,D,0
41.02079,28.55513,305.33,0.42,0.61,2012-03-19,2307,N,VIIRS,n,2,281.25,1.1,N,2
41.02286,28.55569,298.06,0.36,0.57,2012-03-20,0048,N,VIIRS,n,2,279.96,1.24,N,2
41.10907,28.66891,328.45,0.34,0.56,2012-03-21,1012,N,VIIRS,n,2,292.5,1.3,D,0
41.05928,28.45968,327.94,0.35,0.57,2012-03-21,1012,N,VIIRS,n,2,291.69,0.97,D,0
41.13536,28.85486,336.14,0.45,0.63,2012-03-21,1152,N,VIIRS,n,2,290.78,5.53,D,0
41.01945,28.5589,295.99,0.41,0.37,2012-03-22,0010,N,VIIRS,n,2,278.54,0.88,N,2
41.02034,28.55401,309.09,0.41,0.37,2012-03-22,0010,N,VIIRS,n,2,279.68,0.88,N,2
41.02117,28.55435,313.62,0.4,0.37,2012-03-22,2351,N,VIIRS,n,2,279.59,1.46,N,2
41.02055,28.55472,312.9,0.4,0.44,2012-03-23,2332,N,VIIRS,n,2,281.43,1.77,N,2
41.01932,28.55839,299.15,0.71,0.75,2012-03-24,0113,N,VIIRS,n,2,278.87,1.17,N,2
41.16442,28.56939,328.53,0.6,0.53,2012-03-27,1139,N,VIIRS,n,2,291.06,4.64,D,0
41.15837,28.46837,331.12,0.39,0.36,2012-03-29,1102,N,VIIRS,n,2,293.15,2.29,D,0
41.14007,28.69664,346.22,0.39,0.36,2012-03-29,1102,N,VIIRS,n,2,293.72,8.96,D,0
41.02026,28.55498,305.87,0.51,0.66,2012-03-30,2301,N,VIIRS,n,2,279.18,1.54,N,2
41.01887,28.55561,301.72,0.6,0.53,2012-03-31,0041,N,VIIRS,n,2,277.19,1.99,N,2
41.02112,28.55543,306.99,0.6,0.53,2012-03-31,0041,N,VIIRS,n,2,278.21,1.57,N,2
41.01984,28.55972,299.71,0.53,0.42,2012-04-01,0023,N,VIIRS,n,2,280.18,1.21,N,2
41.02118,28.55338,307,0.53,0.42,2012-04-01,0023,N,VIIRS,n,2,280.52,1.21,N,2
41.02096,28.55308,305.93,0.44,0.39,2012-04-02,2345,N,VIIRS,n,2,276.96,1.32,N,2
41.02031,28.55832,307.38,0.44,0.39,2012-04-02,2345,N,VIIRS,n,2,278.45,1.32,N,2
41.02071,28.55751,313.22,0.48,0.48,2012-04-03,2326,N,VIIRS,n,2,281.66,2.79,N,2
40.80163,29.37895,300.16,0.43,0.46,2012-04-03,2326,N,VIIRS,n,2,282.06,0.62,N,0
40.80698,29.46531,337.48,0.43,0.46,2012-04-03,2326,N,VIIRS,n,2,282.94,3.25,N,0
41.02078,28.55601,306.03,0.6,0.71,2012-04-04,0106,N,VIIRS,n,2,279.8,1.61,N,2
40.81002,29.46553,306.81,0.67,0.74,2012-04-04,0106,N,VIIRS,n,2,277.98,2.88,N,0
41.02052,28.55481,300.37,0.6,0.71,2012-04-04,0106,N,VIIRS,n,2,278.83,1.75,N,2
40.80863,29.465,334.51,0.4,0.37,2012-04-04,1049,N,VIIRS,n,2,299.64,1.94,D,0
41.02033,28.5562,321.01,0.42,0.37,2012-04-07,0010,N,VIIRS,n,2,286.18,2.8,N,2
41.02148,28.55751,296.76,0.43,0.62,2012-04-10,0054,N,VIIRS,n,2,272.69,0.49,N,2
41.02177,28.55879,300.68,0.46,0.39,2012-04-12,0016,N,VIIRS,n,2,279.45,2.06,N,2
41.02136,28.55576,324.29,0.39,0.36,2012-04-12,2358,N,VIIRS,n,2,285.72,2.45,N,2
41.01968,28.5545,303.81,0.39,0.36,2012-04-18,0004,N,VIIRS,n,2,278.53,0.79,N,2
41.01885,28.55792,297.34,0.48,0.48,2012-04-19,2326,N,VIIRS,n,2,281.49,0.81,N,2
41.02331,28.55854,300.21,0.48,0.48,2012-04-19,2326,N,VIIRS,n,2,282.84,0.78,N,2
41.01932,28.55226,297.34,0.48,0.48,2012-04-19,2326,N,VIIRS,n,2,280.76,0.94,N,2
41.01878,28.55416,304.99,0.6,0.71,2012-04-20,0106,N,VIIRS,n,2,280.4,1.36,N,2
41.02188,28.55806,300.94,0.36,0.57,2012-04-21,0048,N,VIIRS,n,2,278.91,1.6,N,2
41.02262,28.55716,301.64,0.42,0.37,2012-04-23,0010,N,VIIRS,n,2,285.29,1.31,N,2
41.01925,28.55608,312.77,0.42,0.37,2012-04-23,0010,N,VIIRS,n,2,284.23,1.31,N,2
40.99739,28.88795,330.52,0.57,0.69,2012-04-23,0953,N,VIIRS,n,2,294.85,3.69,D,0
40.99614,28.8926,342.56,0.51,0.49,2012-04-23,1133,N,VIIRS,n,2,307.05,32.32,D,0
40.99567,28.88645,333.83,0.51,0.49,2012-04-23,1133,N,VIIRS,n,2,302.37,16.72,D,0
41.02161,28.55316,305.14,0.4,0.37,2012-04-23,2351,N,VIIRS,n,2,281.91,1.03,N,2
41.02096,28.55792,309.55,0.4,0.37,2012-04-23,2351,N,VIIRS,n,2,283.68,1.34,N,2
41.02071,28.55389,315.41,0.4,0.44,2012-04-24,2332,N,VIIRS,n,2,287.17,1.6,N,2
41.02027,28.5586,301.01,0.4,0.44,2012-04-24,2332,N,VIIRS,n,2,286.14,0.79,N,2
41.02011,28.55636,336.04,0.39,0.36,2012-04-25,1055,N,VIIRS,n,2,306.63,3.93,D,2
41.01771,28.55508,298.4,0.35,0.57,2012-04-25,2313,N,VIIRS,n,2,280.94,0.46,N,2
40.9142,29.16197,330.94,0.32,0.55,2012-04-25,2313,N,VIIRS,n,2,286.47,2.52,N,0
41.023,28.55562,312.26,0.35,0.57,2012-04-25,2313,N,VIIRS,n,2,283.79,1.19,N,2
41.02263,28.55389,297.46,0.43,0.62,2012-04-26,0054,N,VIIRS,n,2,283.17,1.5,N,2
41.02119,28.55891,304.01,0.43,0.62,2012-04-26,0054,N,VIIRS,n,2,284.68,1.41,N,2
